,_p,_v,_t
735,2.5191,173.54,1589368013386
736,2.5191,188.18,1589368013474
737,2.52,3931.48,1589368015120
738,2.52,26.3,1589368015942
739,2.52,3055.55,1589368018680
740,2.52,193.04,1589368019529
741,2.5191,593.51,1589368020138
742,2.5191,168.16,1589368020175
743,2.5192,252.24,1589368020232
744,2.5192,420.39,1589368020342
745,2.519,5.3,1589368020437
746,2.5198,8.7,1589368020763
747,2.5198,792.0,1589368024319
748,2.52,117.74,1589368024830
749,2.52,159.44,1589368024838
750,2.5199,4.04,1589368047771
751,2.5199,3.88,1589368048839
752,2.52,149.05,1589368048839
753,2.52,77.78,1589368048882
754,2.52,168.51,1589368048901
755,2.52,455.39,1589368048908
756,2.52,127.92,1589368048916
757,2.52,383.0,1589368088714
758,2.52,10.16,1589368093334
759,2.5182,7.93,1589368132040
760,2.5182,767.98,1589368132208
761,2.5182,184.55,1589368132235
762,2.5182,39.54,1589368132310
763,2.5199,29.56,1589368132310
764,2.5198,65.9,1589368214622
765,2.5198,19.1,1589368214624
766,2.5198,80.0,1589368214625
767,2.5198,185.0,1589368216990
768,2.5199,357.92,1589368216990
769,2.52,157.58,1589368216990
770,2.52,1600.0,1589368216997
771,2.52,1200.0,1589368217009
772,2.52,362.28,1589368217042
773,2.52,862.37,1589368217062
774,2.52,278.3,1589368217135
775,2.52,438.8,1589368217142
776,2.52,22.6,1589368217154
777,2.52,100.0,1589368218653
778,2.52,151.9,1589368218653
779,2.52,174.26,1589368220435
780,2.52,531.93,1589368221641
781,2.52,20.02,1589368222941
782,2.52,20.0,1589368225438
783,2.52,20.0,1589368227947
784,2.52,40.0,1589368229991
785,2.52,20.02,1589368230445
786,2.52,100.0,1589368230524
787,2.52,170.3,1589368230524
788,2.52,100.0,1589368230976
789,2.52,32.18,1589368230983
790,2.52,200.0,1589368230984
791,2.52,1220.27,1589368231048
792,2.52,20.0,1589368231337
793,2.52,20.07,1589368231700
794,2.52,20.01,1589368232084
795,2.52,20.03,1589368232483
796,2.52,20.12,1589368232826
797,2.52,20.06,1589368233181
798,2.52,15.8,1589368233282
799,2.52,100.0,1589368233292
800,2.52,40.0,1589368233324
801,2.52,35.38,1589368233326
802,2.52,92.82,1589368233426
803,2.52,20.07,1589368233480
804,2.52,20.04,1589368233783
805,2.52,20.15,1589368234096
806,2.52,20.25,1589368234426
807,2.52,100.0,1589368234473
808,2.52,20.14,1589368234765
809,2.52,20.06,1589368235121
810,2.52,20.32,1589368235484
811,2.52,20.14,1589368235855
812,2.52,20.25,1589368236251
813,2.52,269.06,1589368236392
814,2.52,20.02,1589368236654
815,2.52,100.0,1589368236659
816,2.52,20.01,1589368237076
817,2.52,20.06,1589368237509
818,2.52,20.01,1589368237963
819,2.52,20.08,1589368238440
820,2.52,20.04,1589368238939
821,2.52,20.02,1589368239459
822,2.52,20.05,1589368240016
823,2.52,20.02,1589368240596
824,2.52,20.01,1589368241221
825,2.52,20.02,1589368241870
826,2.52,20.04,1589368242575
827,2.52,20.04,1589368243326
828,2.52,40.47,1589368243869
829,2.52,20.0,1589368244129
830,2.52,20.06,1589368245006
831,2.52,20.03,1589368245964
832,2.52,20.05,1589368247018
833,2.52,20.06,1589368248192
834,2.52,20.04,1589368249522
835,2.52,20.01,1589368251026
