,_p,_v,_t
310,70.05,1.15783,1589248200975
311,70.04,0.37433,1589248201026
312,70.05,0.37417,1589248206704
313,70.07,1.88563,1589248206704
314,70.07,0.23361,1589248206708
315,70.06,2.493,1589248206732
316,70.03,6.021,1589248206828
317,70.03,5.667,1589248207012
318,70.06,2.5039,1589248207754
319,70.03,0.14888,1589248209997
320,70.0,0.937,1589248210047
321,70.0,0.596,1589248210176
322,70.04,0.3991,1589248211899
323,69.98,0.502,1589248211905
324,70.03,1.15,1589248239599
325,70.06,1.70899,1589248240295
326,70.07,0.25,1589248267743
327,70.1,0.8,1589248274659
328,70.1,1.61416,1589248274844
329,70.1,2e-05,1589248279606
330,70.1,1.533,1589248285636
331,70.13,0.28714,1589248298464
332,70.14,0.7272,1589248298464
333,70.16,4.98566,1589248298464
334,70.16,6.0,1589248298577
335,70.13,1.655,1589248298697
336,70.13,0.227,1589248319118
337,70.13,1.773,1589248322707
338,70.12,1.0001,1589248323460
339,70.11,1.6519,1589248323559
340,70.1,1.825,1589248323580
341,70.1,9.125,1589248323603
342,70.1,0.5,1589248323616
343,70.1,0.998,1589248323620
344,70.1,7.57983,1589248323653
345,70.1,29.63136,1589248323656
346,70.07,5.49994,1589248323861
347,70.06,0.19268,1589248324959
348,70.07,0.8,1589248334451
349,70.11,0.99909,1589248377927
350,70.14,1.65155,1589248385070
351,70.15,1.825,1589248385175
352,70.15,7.3,1589248385185
353,70.15,77.17254,1589248385199
354,70.18,0.596,1589248385216
355,70.17,1.552,1589248385276
356,70.18,5.475,1589248385376
357,70.18,0.929,1589248385378
358,70.17,6.546,1589248385378
359,70.2,0.15762,1589248385479
360,70.2,0.614,1589248385490
361,70.2,0.557,1589248386025
362,70.2,0.471,1589248386131
363,70.2,2.478,1589248386345
364,70.18,3.625,1589248386561
365,70.19,2.14,1589248387532
366,70.24,0.26752,1589248395867
367,70.28,0.271,1589248397290
368,70.29,0.49999,1589248397591
369,70.22,1.825,1589248403342
370,70.22,1.825,1589248403342
371,70.22,0.8764,1589248403345
372,70.22,4e-05,1589248403361
373,70.21,3.42326,1589248403361
374,70.2,1.825,1589248403384
375,70.2,1.825,1589248403384
376,70.2,1.35,1589248403410
377,70.19,0.5,1589248403451
378,70.19,1.6503,1589248403454
379,70.19,1.21541,1589248403479
380,70.18,0.35674,1589248403787
381,70.19,1.6672,1589248404234
382,70.19,0.8251,1589248404267
383,70.2,2.47621,1589248404333
384,70.17,12.57373,1589248404509
385,70.18,1.84158,1589248405073
386,70.2,3.24224,1589248405873
387,70.17,1.79223,1589248406122
388,70.26,1.7337,1589248416261
389,70.26,1e-05,1589248419808
390,70.3,0.35459,1589248420426
391,70.22,0.199,1589248435232
392,70.22,4.53557,1589248435376
393,70.22,5e-05,1589248435380
394,70.21,1.825,1589248435392
395,70.18,1.65061,1589248436221
396,70.18,2.4714,1589248442908
397,70.26,1.64836,1589248453879
398,70.23,0.25,1589248466224
399,70.26,1.6486,1589248486089
400,70.3,1.64815,1589248503270
401,70.31,7.0,1589248503273
402,70.29,1.22,1589248503987
403,70.29,0.42791,1589248503995
404,70.26,5.91703,1589248504210
405,70.29,0.311,1589248513430
406,70.25,12.2604,1589248524014
407,70.22,6.0,1589248525015
408,70.21,8.54016,1589248525015
409,70.21,0.00015,1589248525153
410,70.2,0.6135,1589248525312
411,70.19,0.8,1589248525338
412,70.18,0.237,1589248525434
413,70.17,0.94278,1589248525646
414,70.16,0.5,1589248525812
415,70.16,1.97498,1589248527716
416,70.22,1.65026,1589248567623
417,70.23,0.45974,1589248567623
418,70.22,2.29739,1589248592550
419,70.22,2.22579,1589248592566
420,70.22,0.07159,1589248592572
421,70.23,1.825,1589248592595
422,70.23,5.475,1589248592611
423,70.23,1.825,1589248592615
424,70.23,1.3267,1589248592620
425,70.23,1.7647,1589248592637
426,70.23,5.53529,1589248592642
427,70.28,1.6685,1589248623235
428,70.28,2e-05,1589248623251
429,70.26,0.57598,1589248623251
430,70.28,40.14959,1589248624239
431,70.29,1.15,1589248630966
