,_p,_v,_t
259,7.027,176.52,1589069040742
260,7.0222,68.31,1589069041373
261,7.0222,7.5,1589069041547
262,7.0207,32.5,1589069041547
263,7.0204,2.06,1589069042073
264,7.02,182.98,1589069042073
265,7.0199,1.5,1589069042325
266,7.0195,1.82,1589069042490
267,7.018,3.18,1589069042490
268,7.0185,47.08,1589069043064
269,7.0209,43.97,1589069048391
270,7.0232,22.98,1589069048391
271,7.0233,100.0,1589069048401
272,7.0277,7.5,1589069051925
273,7.028,50.0,1589069051943
274,7.0293,10.0,1589069052107
275,7.0293,25.0,1589069052112
276,7.0309,62.7,1589069053375
277,7.0324,179.76,1589069053421
278,7.0323,59.77,1589069054078
279,7.0278,42.89,1589069054817
280,7.0254,78.0,1589069055441
281,7.0247,40.22,1589069055441
282,7.0221,31.78,1589069055441
283,7.0221,40.0,1589069055461
284,7.0247,42.5,1589069056087
285,7.0286,43.3,1589069056087
286,7.0251,6.98,1589069056414
287,7.0277,6.76,1589069059301
288,7.0277,5.6,1589069059400
289,7.0279,10.0,1589069059624
290,7.0326,19.66,1589069059918
291,7.0327,3.18,1589069059918
292,7.0318,1.64,1589069061480
293,7.0291,3.18,1589069062011
294,7.0266,43.9,1589069062011
295,7.0252,73.11,1589069062011
296,7.0226,2.84,1589069063361
297,7.0225,17.16,1589069063361
298,7.0257,2.0,1589069063673
299,7.023,7.56,1589069064389
300,7.0225,39.89,1589069064435
301,7.0225,25.0,1589069064473
302,7.0225,0.63,1589069064889
303,7.0223,14.37,1589069064889
304,7.0223,38.23,1589069064904
305,7.0211,7.5,1589069065251
306,7.0172,7.54,1589069065251
307,7.0181,24.53,1589069065468
308,7.0204,2.62,1589069066990
309,7.0184,25.46,1589069066990
310,7.0184,2.5,1589069067001
311,7.0226,82.05,1589069067588
312,7.0227,3.75,1589069067588
313,7.0171,4.35,1589069068602
314,7.0171,193.29,1589069068632
315,7.0162,7.5,1589069069559
316,7.016,4.25,1589069069839
317,7.0146,1.6,1589069069839
318,7.0142,3.25,1589069069839
319,7.0135,2.4,1589069069839
320,7.0132,2.3,1589069069839
321,7.0131,6.2,1589069069839
322,7.017,7.05,1589069070071
323,7.0132,48.23,1589069070071
324,7.0131,60.0,1589069070158
325,7.0117,45.0,1589069070554
326,7.0117,12.28,1589069070811
327,7.0115,1.71,1589069070816
328,7.011,42.13,1589069071037
329,7.0148,47.21,1589069071419
330,7.0171,27.68,1589069071419
331,7.0121,22.0,1589069071539
332,7.0132,81.62,1589069071796
333,7.0139,20.0,1589069072935
334,7.0109,10.35,1589069074416
335,7.0102,10.35,1589069074505
336,7.0102,5.78,1589069074711
337,7.0102,56.43,1589069075020
338,7.01,197.5,1589069075020
339,7.01,8.07,1589069075020
340,7.01,2.28,1589069075020
341,7.0082,2.73,1589069075020
342,7.0078,28.32,1589069075020
343,7.0077,2.0,1589069075020
344,7.0071,30.1,1589069075020
345,7.007,100.0,1589069075020
346,7.0064,1.92,1589069075020
347,7.0059,71.3,1589069075020
348,7.0052,210.45,1589069075020
349,7.0102,30.1,1589069075352
350,7.0103,58.92,1589069075352
351,7.0135,206.59,1589069075352
352,7.0068,22.0,1589069075569
353,7.0071,11.91,1589069075879
354,7.0113,7.05,1589069076088
355,7.0051,50.39,1589069076267
356,7.0047,1.9,1589069076405
357,7.003,114.0,1589069076405
358,7.003,90.0,1589069076651
359,7.003,25.0,1589069076830
360,7.003,50.0,1589069076832
361,7.003,57.46,1589069076875
362,7.0037,25.0,1589069077710
363,7.0037,32.69,1589069077710
364,7.0039,36.64,1589069077716
365,7.0029,40.0,1589069077771
366,7.0029,40.0,1589069077777
367,7.0029,24.71,1589069077798
368,7.0029,50.0,1589069077813
369,7.0029,5.29,1589069077997
370,7.0029,5.29,1589069078122
371,7.0023,4.55,1589069078317
372,7.0022,15.45,1589069078317
373,7.0025,56.26,1589069079050
374,7.0052,28.16,1589069079434
375,7.0053,471.84,1589069079434
376,7.004,6.76,1589069079556
377,7.0026,15.24,1589069079556
378,7.0066,35.7,1589069079721
379,7.0052,15.0,1589069080383
380,7.006,7.0,1589069081150
381,7.0098,160.0,1589069081546
382,7.0022,35.0,1589069083238
383,7.0103,81.98,1589069083298
384,7.0104,3.82,1589069083298
385,7.0047,59.02,1589069084658
386,7.008,78.45,1589069085535
387,7.0081,125.86,1589069085535
388,7.0073,34.92,1589069087123
389,7.0022,20.29,1589069087682
390,7.0018,35.7,1589069087682
391,7.0017,85.11,1589069087682
392,7.0008,8.9,1589069087682
393,7.0008,8.51,1589069087707
394,7.0006,35.4,1589069087707
395,7.0006,40.58,1589069087713
396,7.0005,44.53,1589069087713
397,7.0005,8.51,1589069087728
398,7.0006,64.49,1589069087817
399,7.0005,235.51,1589069087817
400,7.0005,34.5,1589069087818
401,7.0003,4.47,1589069087818
402,7.0,6.03,1589069087818
403,7.0,12.0,1589069087818
404,7.0,3.56,1589069087818
405,7.0,19.98,1589069087818
406,7.0,100.0,1589069087818
407,7.0,1.79,1589069087818
408,7.0,40.0,1589069087820
409,7.0,491.28,1589069088479
410,6.9991,14.29,1589069088505
411,6.9987,194.85,1589069088505
412,6.9985,105.15,1589069088505
413,6.9985,94.85,1589069088505
414,6.998,134.18,1589069088527
415,6.9976,24.14,1589069088534
416,6.9974,10.89,1589069088549
417,6.9965,2.29,1589069088549
418,6.996,6.09,1589069088549
419,6.9957,1.43,1589069088549
420,6.9956,28.25,1589069088549
421,6.9954,29.97,1589069088549
422,6.9953,11.44,1589069088549
423,6.9951,9.64,1589069088549
424,6.9987,3.32,1589069088574
425,6.9987,14.89,1589069088582
426,6.995,10.0,1589069088708
427,6.9947,2.35,1589069088708
428,6.9944,73.6,1589069088708
429,6.9938,7.09,1589069088708
430,6.9934,1.43,1589069088708
431,6.9929,1.7,1589069088708
432,6.9918,3.83,1589069088708
433,6.9918,30.0,1589069088711
434,6.9921,42.81,1589069088730
435,6.9947,42.02,1589069089392
436,6.9955,31.44,1589069089392
437,6.9955,7.12,1589069089659
438,6.9954,7.8,1589069089814
439,6.9915,2.87,1589069090084
440,6.9912,47.13,1589069090084
441,6.9912,60.0,1589069090084
442,6.9912,51.22,1589069090086
443,6.9912,2.65,1589069090091
444,6.991,31.13,1589069090091
445,6.991,53.96,1589069090210
446,6.9908,1.44,1589069090210
447,6.9905,1.56,1589069090210
448,6.9901,1.71,1589069090210
449,6.99,119.51,1589069090210
450,6.9893,8.39,1589069090210
451,6.9893,2.74,1589069090210
452,6.9891,2.57,1589069090210
453,6.9887,81.4,1589069090210
454,6.9886,3.0,1589069090210
455,6.987,4.48,1589069090210
456,6.9868,399.98,1589069090210
457,6.986,1.78,1589069090210
458,6.9859,200.0,1589069090210
459,6.9858,78.11,1589069090210
460,6.9853,1.74,1589069090210
461,6.9848,1.54,1589069090210
462,6.9847,114.5,1589069090210
463,6.9841,270.75,1589069090210
464,6.984,1.44,1589069090210
465,6.9839,4.7,1589069090210
466,6.9836,2.02,1589069090210
467,6.9833,11.46,1589069090210
468,6.9831,61.42,1589069090210
469,6.9827,4.3,1589069090210
470,6.9823,142.49,1589069090210
471,6.9823,17.51,1589069090210
472,6.9817,190.32,1589069090210
473,6.9835,80.0,1589069090225
474,6.989,132.1,1589069090227
475,6.9898,267.04,1589069090431
476,6.9898,10.92,1589069091170
477,6.9899,437.8,1589069091216
478,6.99,25.0,1589069091233
479,6.99,25.0,1589069091235
480,6.99,4.94,1589069091418
481,6.991,2.86,1589069091812
482,6.991,157.14,1589069091875
483,6.9912,20.57,1589069091875
484,6.9912,8.91,1589069091893
485,6.9948,12.32,1589069092814
486,6.995,34.89,1589069092814
487,6.9954,33.27,1589069092814
488,6.9955,78.37,1589069092814
489,6.9977,5.0,1589069095253
490,6.9976,62.7,1589069095951
491,6.9928,46.34,1589069095951
492,6.9886,7.97,1589069098048
493,6.9899,2.86,1589069098212
494,6.9855,80.6,1589069098556
495,6.9854,19.4,1589069098556
496,6.9854,20.0,1589069098561
497,6.985,20.0,1589069098736
498,6.9915,35.58,1589069098760
499,6.9941,1222.94,1589069098760
500,6.9852,76.79,1589069098802
501,6.9851,23.21,1589069098802
502,6.9853,59.55,1589069098953
503,6.9851,40.45,1589069098953
504,6.9852,9.86,1589069099096
505,6.9851,90.14,1589069099096
506,6.9851,100.0,1589069099250
507,6.9851,100.0,1589069099375
508,6.9853,68.59,1589069099531
509,6.9852,31.41,1589069099531
510,6.9852,63.09,1589069099704
511,6.9851,36.91,1589069099704
512,6.9851,100.0,1589069099876
513,6.9851,100.0,1589069100170
514,6.9851,100.0,1589069100337
515,6.9851,100.0,1589069100500
516,6.9851,100.0,1589069100646
517,6.9851,100.0,1589069100793
518,6.9851,259.29,1589069100817
519,6.9837,65.65,1589069101024
520,6.9821,34.35,1589069101024
521,6.9878,85.85,1589069102955
522,6.982,15.0,1589069103167
523,6.9863,41.1,1589069103735
524,6.9878,7.5,1589069103735
525,6.9822,40.71,1589069103845
526,6.982,20.0,1589069105038
527,6.9893,56.48,1589069106781
528,6.9842,7.41,1589069109879
529,6.9803,7.5,1589069110547
530,6.9802,3.2,1589069110547
531,6.9801,9.3,1589069110547
532,6.9837,33.38,1589069110556
533,6.98,50.0,1589069110691
534,6.98,10.75,1589069110691
535,6.98,123.89,1589069110691
536,6.9798,7.88,1589069110691
537,6.9794,1.72,1589069110691
538,6.979,3.32,1589069110691
539,6.9783,7.5,1589069110691
540,6.9782,29.49,1589069110691
541,6.9782,106.51,1589069110691
542,6.9781,4.48,1589069110691
543,6.9777,28.51,1589069110691
544,6.9775,10.0,1589069110691
545,6.9774,228.84,1589069110691
546,6.9773,2.81,1589069110691
547,6.9835,65.16,1589069110691
548,6.9836,6.37,1589069110691
549,6.9773,82.28,1589069110691
550,6.977,111.66,1589069110691
551,6.9769,15.76,1589069110691
552,6.9767,290.3,1589069110691
553,6.9767,365.5,1589069110691
554,6.9764,200.0,1589069110691
555,6.9762,200.0,1589069110691
556,6.9756,30.55,1589069110691
557,6.9754,5.0,1589069110691
558,6.9749,314.92,1589069110691
559,6.974,3.02,1589069110691
560,6.9735,125.11,1589069110691
561,6.9729,160.0,1589069110691
562,6.9723,175.0,1589069110691
563,6.9719,1.51,1589069110691
564,6.9715,800.0,1589069110691
565,6.9714,3.25,1589069110691
566,6.9708,160.0,1589069110691
567,6.9706,3.45,1589069110691
568,6.97,2.86,1589069110691
569,6.969,7.17,1589069110691
570,6.97,85.8,1589069110729
571,6.97,437.68,1589069110759
572,6.97,154.2,1589069110904
573,6.97,5.8,1589069110934
574,6.97,40.0,1589069110937
575,6.97,20.0,1589069110951
576,6.97,50.0,1589069110954
577,6.97,40.0,1589069110964
578,6.9701,46.73,1589069111038
579,6.97,20.0,1589069111057
580,6.97,25.0,1589069111090
581,6.97,9.62,1589069111113
582,6.97,25.23,1589069111135
583,6.9695,46.88,1589069111135
584,6.9695,71.56,1589069111215
585,6.97,4.0,1589069111259
586,6.9756,19.6,1589069111866
587,6.9728,1.61,1589069112534
588,6.97,85.09,1589069113052
589,6.9687,16.08,1589069113076
590,6.9676,29.39,1589069113092
591,6.9675,10.0,1589069113231
592,6.9669,65.73,1589069113412
593,6.9668,4.95,1589069113485
594,6.9676,88.3,1589069113488
595,6.9675,60.92,1589069113621
596,6.9675,3.43,1589069113655
597,6.9675,6.9,1589069113669
598,6.9659,2.35,1589069113843
599,6.9649,1.75,1589069114036
600,6.9675,21.75,1589069114107
601,6.9649,34.06,1589069114202
602,6.9675,24.95,1589069114279
603,6.9664,81.34,1589069114504
604,6.9675,4.46,1589069114504
605,6.9646,62.7,1589069114944
606,6.965,9.0,1589069114944
607,6.965,1.79,1589069115052
608,6.965,3.2,1589069115458
609,6.9633,60.91,1589069115880
610,6.9632,3.16,1589069116443
611,6.9632,20.81,1589069116467
612,6.9626,2.87,1589069116467
613,6.9625,21.32,1589069116467
614,6.9625,5.59,1589069116467
615,6.9667,1.51,1589069116711
616,6.9625,195.18,1589069117063
617,6.964,5.02,1589069117202
618,6.964,1.96,1589069117301
619,6.9618,5.02,1589069117348
620,6.9617,2.34,1589069117348
621,6.96,37.64,1589069117348
622,6.96,69.29,1589069117348
623,6.96,119.92,1589069117348
624,6.96,14.99,1589069117348
625,6.96,39.0,1589069117348
626,6.96,46.47,1589069117550
627,6.96,46.63,1589069117602
628,6.9592,20.0,1589069117982
629,6.9592,22.34,1589069117997
630,6.9591,2.06,1589069118126
631,6.9635,36.7,1589069118437
632,6.958,1.72,1589069119280
633,6.9575,3.28,1589069119280
634,6.9575,20.73,1589069119285
635,6.957,2.97,1589069119285
636,6.9569,76.3,1589069119285
637,6.9569,83.7,1589069119288
638,6.9568,16.3,1589069119288
639,6.9569,4.07,1589069119595
640,6.9568,1.59,1589069119595
641,6.9568,67.22,1589069119625
642,6.9561,2.37,1589069119723
643,6.9556,3.18,1589069119809
644,6.958,44.94,1589069120119
645,6.96,120.64,1589069120228
646,6.96,153.2,1589069120262
647,6.9586,37.64,1589069120262
648,6.9586,153.2,1589069120284
649,6.958,77.06,1589069120308
650,6.9586,28.12,1589069120340
651,6.9587,39.32,1589069120340
652,6.9587,122.0,1589069120346
653,6.9587,176.7,1589069120359
654,6.9579,3.31,1589069120362
655,6.9578,36.69,1589069120362
656,6.9578,360.51,1589069120422
657,6.9536,90.0,1589069120529
658,6.9577,28.0,1589069120833
659,6.9547,45.34,1589069120954
660,6.9546,41.64,1589069121078
661,6.9547,10.07,1589069121078
662,6.9547,1.54,1589069121127
663,6.9547,3.41,1589069121183
664,6.9547,86.62,1589069121317
665,6.9536,15.9,1589069121329
666,6.9535,12.69,1589069121329
667,6.9532,2.09,1589069121329
668,6.953,15.81,1589069121329
669,6.9527,53.51,1589069121329
670,6.9557,46.8,1589069122123
671,6.9577,85.25,1589069122143
672,6.9543,7.78,1589069122163
673,6.9531,33.17,1589069122163
674,6.9663,46.8,1589069123533
675,6.9597,13.46,1589069123631
676,6.9665,216.8,1589069123823
677,6.967,7.5,1589069123868
678,6.9672,43.55,1589069123868
679,6.9671,7.21,1589069124118
680,6.9738,5.53,1589069124892
681,6.966,62.15,1589069124960
